,product_name,cost
0,OnePlus U1S 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV,"₹62,490"
1,iFFALCON 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV,"₹49,990"
2,Vu Premium 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV,"₹57,999"
3,MOTOROLA Revou 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹59,999"
4,NOKIA 165 cm (65 inch) Ultra HD 4K LED Smart Android TV with Sound by Onkyo and Dolby Atmos,"₹62,999"
5,Thomson OATHPRO Series 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & D...,"₹53,999"
6,SAMSUNG Crystal 4K 163 cm (65 inch) Ultra HD (4K) LED Smart TV,"₹83,990"
7,KODAK CA Series 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,"₹54,999"
8,PHILIPS 6600 Series 146 cm (58 inch) Ultra HD (4K) LED Smart TV,"₹41,999"
9,PHILIPS 7600 Series 146 cm (58 inch) Ultra HD (4K) LED Smart TV,"₹43,999"
10,Blaupunkt Cyber Sound 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 60W Speake...,"₹55,999"
11,SAMSUNG Crystal 4K Pro 163 cm (65 inch) Ultra HD (4K) LED Smart TV with Voice Search,"₹87,990"
12,LG Nanocell 189 cm (75 inch) Ultra HD (4K) LED Smart TV,"₹4,99,990"
13,MarQ by Flipkart 165 cm (65) Ultra HD (4K) LED Smart Android TV,"₹64,999"
14,SAMSUNG Series 7 189 cm (75 inch) Ultra HD (4K) LED Smart TV,"₹2,39,999"
15,TCL 165 cm (65 inch) Ultra HD (4K) LED Smart Android TV,"₹89,999"
16,SAMSUNG Series 8 163 cm (65 inch) Ultra HD (4K) LED Smart TV,"₹1,67,199"
17,SAMSUNG Series 8 189 cm (75 inch) Ultra HD (4K) LED Smart TV,"₹5,99,900"
18,SAMSUNG Series 7 163 cm (65 inch) Ultra HD (4K) LED Smart TV,"₹1,59,500"
19,LG 164 cm (65 inch) Ultra HD (4K) LED Smart TV,"₹1,74,999"
20,SAMSUNG Series 6 163 cm (65 inch) Ultra HD (4K) LED Smart TV,"₹2,94,900"
21,LG Nanocell 164 cm (65 inch) Ultra HD (4K) LED Smart TV,"₹1,64,999"
22,LG 164 cm (65 inch) Ultra HD (4K) LED Smart TV,"₹1,20,999"
23,TCL P715 164 cm (65 Inch) Ultra HD (4K) LED Smart Android TV with Full Screen & Handsfree Voice Contro...,"₹69,990"
